Establishment ID,Name,Address,Zip Code,Owner,License Number,License Type,Most Recent License Date,Establishment Type,Status,Restaurant Complexity Level,Review Frequency in Days,Location
3481,Matrix Head Start,5690 Cecil,4821,Vista Nuevas,202838,Fixed Establishment,,Food Service Establishment,Open,High,180,"location
(42.33793, -83.13698)"
305,Matrix Head Start-Manuel Reyes,8500 Vernor St W,48209,Matrix Head Start,033988,Fixed Establishment,04/27/2016,Food Service Establishment,Open,,180,
51622452,Matrix Human Services,7375 Woodward Ave,48202,Matrix Head Start,218097,Fixed Establishment,04/24/2018,Food Service Establishment,Open,High,180,"location
(42.37096, -83.07441)"
4239,Matrix Human Services,13560 E McNichols Ave,48205,Director/ Ken Brown,076508,Fixed Establishment,04/27/2018,Food Service Establishment,Open,Medium,365,"location
(42.42655, -82.98448)"
51622472,Maty's Africa Resturant,21611 Grand River,48219,Amady Gueye,218108,Fixed Establishment,03/20/2017,Food Service Establishment,Open,High,180,"location
(42.41536, -83.25551)"
5036,Maya's Indo-Pak Cuisine,4445 Second Ave,48201,Maya Almalek,080849,Fixed Establishment,05/30/2018,Food Service Establishment,Open,High,180,"location
(42.35166, -83.06728)"
2128,Maybury School,4410 Porter St,48209,Detroit Board of Education,040279,Fixed Establishment,05/13/2014,Public School,Open,,210,"location
(42.31654, -83.0939)"
5363,McDonalds,100 Renaissance Center,48243,"Jason Cooper/ STC, Inc.",208212,Fixed Establishment,05/02/2018,Food Service Establishment,Open,,180,"location
(42.32903, -83.03977)"
5362,McDonalds,13676 Grand River,48227,STC Inc.,208178,Fixed Establishment,04/26/2018,Food Service Establishment,Open,,180,"location
(42.38487, -83.17887)"
1496,McDonald's,1000 Mack Ave,48207,James Thrower,035706,Fixed Establishment,05/07/2018,Food Service Establishment,Open,Medium,365,"location
(42.35135, -83.04649)"
4836,McDonald's,1321 W Eight Mile Rd,4822,McDonald's Corp.,081157,Fixed Establishment,05/13/2016,Food Service Establishment,Open,High,180,"location
(42.4444, -83.11999)"
2075,McDonald's,4235 Woodward Ave,48201,Dominique Virgiles,039863,Fixed Establishment,04/29/2016,Food Service Establishment,Open,Medium,365,"location
(42.35206, -83.0615)"
4405,McDonald's,18201 Mack Ave,48236,ECS Partnership,073202,Fixed Establishment,05/07/2018,Food Service Establishment,Open,,330,"location
(42.40925, -82.9149)"
1490,McDonald's #10902,17121 Livernois Ave,48221,"Potts Enterprises #10902, Inc.",035696,Fixed Establishment,05/05/2017,Food Service Establishment,Open,High,180,"location
(42.41737, -83.14081)"
2650,McDonald's #12122,9815 Grand River Ave,48204,ECS Partnership,035797,Fixed Establishment,,Food Service Establishment,Open,,365,"location
(42.3687, -83.13904)"
1587,McDonald's #12308,15501 Plymouth Rd,48227,Gilbertine Brundige,051564,Fixed Establishment,,Food Service Establishment,Open,High,180,"location
(42.37223, -83.1981)"
1657,McDonald's #14217,19840 Van Dyke Ave,48234,SUJIT DATTA,202807,Fixed Establishment,,Food Service Establishment,Open,,365,"location
(42.44087, -83.02394)"
1627,McDonald's #15873,13500 Linwood Ave,48238,Jamjomar VI C/O Jim Thrower,052322,Fixed Establishment,,Food Service Establishment,Open,,365,"location
(42.39336, -83.12188)"
1729,McDonald's #17266,18137 Joy Rd,48228,Gilbertine Brundidge,036119,Fixed Establishment,,Food Service Establishment,Open,High,180,"location
(42.35754, -83.21729)"
1046,McDonald's #2071,6003 Vernor StW,48209,"NAV, Inc.",046668,Fixed Establishment,05/05/2017,Food Service Establishment,Open,,365,
2370,McDonald's #2285,8825 E Jefferson Ave,48214,ECS Partnership,043508,Fixed Establishment,06/06/2017,Food Service Establishment,Open,Medium,365,"location
(42.35658, -82.98755)"
724,McDonald's #24733,22021 W Eight Mile Rd,48219,Ronald Moten/Lee Enterprises,218100,Fixed Establishment,04/22/2015,Food Service Establishment,Open,Medium,365,"location
(42.44283, -83.26)"
2646,McDonald's #25135,3975 Conner Ave,48215,ECS Partnership,062429,Fixed Establishment,06/06/2017,Food Service Establishment,Open,,365,"location
(42.384, -82.9687)"
1071,McDonald's #2527,10400 Gratiot Ave,48213,ECS Partnership,035138,Fixed Establishment,05/07/2018,Food Service Establishment,Open,,365,"location
(42.39927, -83.00052)"
